2026-05-23 00:11:53 | INFO     | main:lifespan | Hot Github API 启动中...
2026-05-23 00:11:53 | INFO     | main:lifespan | 配置已加载: D:\01-work\06-claudecode\github_manager_web\backend\config.json
2026-05-23 00:11:53 | INFO     | main:lifespan | 信号处理器已注册: SIGINT, SIGTERM
2026-05-23 00:11:53 | INFO     | main:lifespan | 数据库已初始化: D:\01-work\06-claudecode\github_manager_web\backend\projects.db
2026-05-23 00:11:53 | INFO     | scheduler:_setup_jobs | 定时任务已配置完成
2026-05-23 00:11:53 | INFO     | scheduler:start | 调度器已启动，当前任务列表: ['auto_analysis', 'retry_analysis', 'daily_trending', 'weekly_trending', 'monthly_trending']
2026-05-23 00:11:53 | INFO     | main:lifespan | 历史热点调度器已启动
2026-05-23 00:11:53 | INFO     | main:lifespan | Hot Github API 启动完成，等待请求...
2026-05-23 00:30:00 | INFO     | scheduler:process_auto_download_and_analysis | 开始执行: auto_analysis
2026-05-23 00:30:00 | INFO     | scheduler:process_auto_download_and_analysis | 今日无热点数据，跳过分析
2026-05-23 11:01:06 | INFO     | trending:get_categories | 获取分类列表: ['ALL', 'AI', '实用工具', '游戏&创意', '学习资源']
2026-05-23 11:01:06 | INFO     | trending:get_starred_projects | 获取高星项目: category=ALL, pushed=不限制, created=不限制, limit=10
2026-05-23 11:01:06 | INFO     | github_api:get_trending | 查询: stars:>50
2026-05-23 11:01:10 | INFO     | trending:get_starred_projects | 高星项目返回: 10 个项目
2026-05-23 11:04:09 | INFO     | main:signal_handler | 收到信号 2，立即退出
2026-05-23 11:04:09 | INFO     | main:lifespan | Hot Github API 启动中...
2026-05-23 11:04:09 | INFO     | main:lifespan | 配置已加载: D:\01-work\06-claudecode\github_manager_web\backend\config.json
2026-05-23 11:04:09 | INFO     | main:lifespan | 信号处理器已注册: SIGINT, SIGTERM
2026-05-23 11:04:09 | INFO     | main:lifespan | 数据库已初始化: D:\01-work\06-claudecode\github_manager_web\backend\projects.db
2026-05-23 11:04:09 | INFO     | scheduler:_setup_jobs | 定时任务已配置完成
2026-05-23 11:04:09 | INFO     | scheduler:start | 调度器已启动，当前任务列表: ['retry_analysis', 'daily_trending', 'auto_analysis', 'weekly_trending', 'monthly_trending']
2026-05-23 11:04:09 | INFO     | main:lifespan | 历史热点调度器已启动
2026-05-23 11:04:09 | INFO     | main:lifespan | Hot Github API 启动完成，等待请求...
2026-05-23 11:04:25 | INFO     | main:signal_handler | 收到信号 2，立即退出
2026-05-23 11:04:26 | INFO     | main:lifespan | Hot Github API 启动中...
2026-05-23 11:04:26 | INFO     | main:lifespan | 配置已加载: D:\01-work\06-claudecode\github_manager_web\backend\config.json
2026-05-23 11:04:26 | INFO     | main:lifespan | 信号处理器已注册: SIGINT, SIGTERM
2026-05-23 11:04:26 | INFO     | main:lifespan | 数据库已初始化: D:\01-work\06-claudecode\github_manager_web\backend\projects.db
2026-05-23 11:04:26 | INFO     | scheduler:_setup_jobs | 定时任务已配置完成
2026-05-23 11:04:26 | INFO     | scheduler:start | 调度器已启动，当前任务列表: ['retry_analysis', 'daily_trending', 'auto_analysis', 'weekly_trending', 'monthly_trending']
2026-05-23 11:04:26 | INFO     | main:lifespan | 历史热点调度器已启动
2026-05-23 11:04:26 | INFO     | main:lifespan | Hot Github API 启动完成，等待请求...
